trace,rows,occupied_rows,columns,zone_raw_fields,header_matches_reference,expected_rows,expected_occupied_rows,missing_raw_occupied,nonfinite_raw_occupied,constant_raw_columns,zero_byte
guangzhou_ssp245_baseline_2020s_typical_2025_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_late_2080s_heatwave_extreme_2088_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_late_2080s_hot_2083_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_late_2080s_typical_2084_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_mid_2050s_heatwave_extreme_2055_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_mid_2050s_hot_2051_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_mid_2050s_typical_2054_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_near_2030s_heatwave_extreme_2034_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_near_2030s_hot_2038_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp245_near_2030s_typical_2031_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_baseline_2020s_hot_2028_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_baseline_2020s_typical_2025_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_late_2080s_heatwave_extreme_2086_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_late_2080s_hot_2086_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_late_2080s_typical_2087_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_mid_2050s_hot_2057_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_mid_2050s_typical_2050_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_near_2030s_heatwave_extreme_2033_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_near_2030s_hot_2033_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
guangzhou_ssp585_near_2030s_typical_2039_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_baseline_2020s_heatwave_extreme_2026_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_baseline_2020s_hot_2026_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_baseline_2020s_typical_2027_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_late_2080s_heatwave_extreme_2081_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_late_2080s_hot_2085_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_late_2080s_typical_2086_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_mid_2050s_heatwave_extreme_2058_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_mid_2050s_hot_2056_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_mid_2050s_typical_2052_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_near_2030s_heatwave_extreme_2039_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_near_2030s_hot_2038_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp245_near_2030s_typical_2033_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp585_baseline_2020s_heatwave_extreme_2025_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp585_baseline_2020s_hot_2026_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp585_baseline_2020s_typical_2025_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
houston_ssp585_late_2080s_heatwave_extreme_2086_diagnostic_reference.csv,35040,16704,162,45,True,True,True,0,0,0,False
