case_id,zone,position,floor,orientation,association,spearman_rho,n_hours
ahmedabad_ssp245_baseline_2020s_hot_2029,core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.2996897302645951,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,core_top,core,top,core,horizontal_GHI__zone_p_tail,0.1988135347464388,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.3692350043484711,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.3600434183884077,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.551907493021596,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.5194121218935084,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.5991578613141795,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_p_tail,0.5654981886971868,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_operative_temperature,0.3723389756748059,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_top_zn_4,perimeter,top,west,horizontal_GHI__zone_p_tail,0.2754256213485141,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_operative_temperature,0.29251103708704623,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_3,perimeter,bottom,north,horizontal_GHI__zone_p_tail,0.2343576574184537,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_operative_temperature,0.4469095331968289,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_2,perimeter,bottom,east,horizontal_GHI__zone_p_tail,0.48026754483652356,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_operative_temperature,0.45518070111022996,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_1,perimeter,bottom,south,horizontal_GHI__zone_p_tail,0.4442797534722847,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_operative_temperature,0.26760459313877355,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_bot_zn_4,perimeter,bottom,west,horizontal_GHI__zone_p_tail,0.19650325959906148,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_operative_temperature,0.33268084514256774,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_3,perimeter,middle,north,horizontal_GHI__zone_p_tail,0.32209642262316246,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_operative_temperature,0.5026476365408271,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_2,perimeter,middle,east,horizontal_GHI__zone_p_tail,0.4894812348008874,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_operative_temperature,0.5889515968444022,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_1,perimeter,middle,south,horizontal_GHI__zone_p_tail,0.5627315683099143,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_operative_temperature,0.33598412502382546,4437
ahmedabad_ssp245_baseline_2020s_hot_2029,perimeter_mid_zn_4,perimeter,middle,west,horizontal_GHI__zone_p_tail,0.2612882130091484,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_bottom,core,bottom,core,horizontal_GHI__zone_operative_temperature,0.3117027446635793,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_bottom,core,bottom,core,horizontal_GHI__zone_p_tail,0.18704459821078498,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_mid,core,middle,core,horizontal_GHI__zone_operative_temperature,0.2712681347959473,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_mid,core,middle,core,horizontal_GHI__zone_p_tail,0.17132892208983241,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_top,core,top,core,horizontal_GHI__zone_operative_temperature,0.36323571342094074,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,core_top,core,top,core,horizontal_GHI__zone_p_tail,0.24853960760992538,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_operative_temperature,0.4447646775204058,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_3,perimeter,top,north,horizontal_GHI__zone_p_tail,0.42684266410403654,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_operative_temperature,0.628003219275548,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_2,perimeter,top,east,horizontal_GHI__zone_p_tail,0.591357380873707,4437
ahmedabad_ssp245_baseline_2020s_typical_2025,perimeter_top_zn_1,perimeter,top,south,horizontal_GHI__zone_operative_temperature,0.6509612115376734,4437
